,Word,Frequency
0,money,13
1,minutes,13
2,piece,12
3,daughter,11
4,later,10
5,shock,9
6,extra,9
7,cash,9
8,ok,9
9,tasteless,9
10,couple,9
11,card,8
12,rude,8
13,spaghetti,8
14,sauce,8
15,refund,8
16,else,8
17,almost,8
18,disgust,8
19,someone,7
20,overprice,7
21,different,7
22,yes,7
23,empty,7
24,start,7
25,wrong,7
26,point,7
27,available,7
28,cook,7
29,cost,7
30,ignore,6
31,remove,6
32,phone,6
33,terrible,6
34,freeze,6
35,dessert,6
36,rush,6
37,tiny,6
38,mean,6
39,week,6
40,dairy,6
41,tea,6
42,instead,6
43,decide,6
44,hour,6
45,knock,6
46,head,6
47,awful,6
48,microwave,5
49,sort,5
50,three,5
51,whether,5
52,worst,5
53,waste,5
54,tomato,5
55,office,5
56,problem,5
57,let,5
58,coffee,5
59,thing,5
60,bag,5
61,age,5
62,next,5
63,warm,5
64,prawn,5
65,cream,5
66,tip,5
67,complain,5
68,total,5
69,rubbish,5
70,avoid,5
71,part,5
72,cut,4
73,ago,4
74,twice,4
75,option,4
76,response,4
77,soggy,4
78,near,4
79,move,4
80,completely,4
81,spoil,4
82,chain,4
83,appear,4
84,number,4
85,abysmal,4
86,cutlery,4
87,aware,4
88,sticker,4
89,rock,4
90,discount,4
91,cucumber,4
92,chef,4
93,lie,4
94,watery,4
95,bar,4
96,saturday,4
97,sadly,4
98,horrible,4
99,talk,4
100,rip,4
101,reply,4
102,home,4
103,lettuce,4
104,hummus,4
105,finally,4
106,behind,4
107,understand,4
108,year,4
109,hate,4
110,breast,4
111,accept,4
112,child,4
113,shots,4
114,fact,4
115,average,4
116,surprise,4
117,pot,4
118,member,4
119,refuse,4
120,elsewhere,4
121,eventually,4
122,ingredients,4
123,website,4
124,disgraceful,4
125,earlier,3
126,manage,3
127,driver,3
128,pack,3
129,action,3
130,bother,3
131,past,3
132,stay,3
133,desserts,3
134,spoon,3
135,onion,3
136,screen,3
137,loud,3
138,choice,3
139,reason,3
140,ill,3
141,turn,3
142,difficult,3
143,doors,3
144,caesar,3
145,totally,3
146,chip,3
147,fir,3
148,alcohol,3
149,swim,3
150,white,3
151,matter,3
152,clearly,3
153,regulars,3
154,middle,3
155,king,3
156,burn,3
157,prosecco,3
158,chilli,3
159,unfortunately,3
160,agree,3
161,gluten,3
162,puddings,3
163,share,3
164,prior,3
165,reference,3
166,stick,3
167,complete,3
168,early,3
169,overcook,3
170,old,3
171,respond,3
172,appal,3
173,bathroom,3
174,happen,3
175,occasion,3
176,except,3
177,beer,3
178,suspect,3
179,separate,3
180,kid,3
181,mistake,3
182,ocado,3
183,bracknell,3
184,mediocre,3
185,add,3
186,across,3
187,water,3
188,sustain,3
189,pure,2
190,things,2
191,solent,2
192,live,2
193,entire,2
194,employee,2
195,crust,2
196,angry,2
197,pm,2
198,corby,2
199,claim,2
200,uncomfortable,2
201,grease,2
202,frequently,2
203,dark,2
204,mate,2
205,suggest,2
206,advertise,2
207,port,2
208,coffees,2
209,luck,2
210,zizzi,2
211,pint,2
212,spot,2
213,embarrass,2
214,ru,2
215,provide,2
216,involve,2
217,follow,2
218,girl,2
219,might,2
220,entrance,2
221,sparse,2
222,load,2
223,excuse,2
224,correct,2
225,bacon,2
226,previously,2
227,stomach,2
228,enter,2
229,receipt,2
230,employees,2
231,son,2
232,prove,2
233,oil,2
234,frustrate,2
235,cheap,2
236,incredibly,2
237,shoot,2
238,web,2
239,post,2
240,mess,2
241,pandemic,2
242,dangerous,2
243,nearly,2
244,fix,2
245,realise,2
246,chillis,2
247,bowl,2
248,sorry,2
249,longer,2
250,edmunds,2
251,version,2
252,app,2
253,interview,2
254,afraid,2
255,others,2
256,atleast,2
257,politely,2
258,batch,2
259,apology,2
260,managers,2
261,world,2
262,harpenden,2
263,slimming,2
264,cross,2
265,saw,2
266,slice,2
267,lemon,2
268,jeans,2
269,bury,2
270,injury,2
271,flat,2
272,grinstead,2
273,shop,2
274,bigger,2
275,confirm,2
276,cambridge,2
277,probably,2
278,months,2
279,east,2
280,remind,2
281,lose,2
282,cope,2
283,eastleigh,2
284,deliveroo,2
285,wind,2
286,luke,2
287,forward,2
288,life,2
289,anniversary,2
290,melissa,2
291,wed,2
292,plate,2
293,mix,2
294,afterwards,2
295,frankie,2
296,didnt,2
297,already,2
298,arrogant,2
299,plastic,2
300,okay,2
301,clarkes,2
302,real,2
303,race,2
304,bolognaise,2
305,unfriendly,2
306,enquire,2
307,miserable,2
308,dine,2
309,front,2
310,fill,2
311,decline,2
312,items,2
313,allow,2
314,high,2
315,chewy,2
316,learn,2
317,advance,2
318,attempt,2
319,diners,2
320,lock,2
321,four,2
322,establishment,2
323,basic,2
324,greasy,2
325,hardly,2
326,tepid,2
327,slop,2
328,alone,2
329,mcdonald,2
330,cheesecake,2
331,custom,2
332,short,2
333,continue,2
334,sign,2
335,pepper,2
336,bolognese,2
337,wimborne,2
338,extortionate,2
339,acceptable,2
340,goats,2
341,minimal,2
342,opinion,2
343,till,2
344,regard,2
345,whiteley,2
346,guests,2
347,abrupt,2
348,irritate,2
349,iv,2
350,venue,2
351,arrange,2
352,clock,2
353,begin,2
354,nicer,2
355,unable,1
356,events,1
357,disengage,1
358,obvious,1
359,overly,1
360,uncaring,1
361,biggest,1
362,swadlincote,1
363,expose,1
364,proceed,1
365,verify,1
366,bugbear,1
367,uneasy,1
368,haverhill,1
369,sweets,1
370,scruffily,1
371,raise,1
372,behaviour,1
373,injure,1
374,liars,1
375,submit,1
376,manger,1
377,compassion,1
378,unbelievably,1
379,foods,1
380,petty,1
381,low,1
382,surly,1
383,menus,1
384,reappear,1
385,vanguard,1
386,york,1
387,chelmsford,1
388,weeks,1
389,wifes,1
390,counter,1
391,lukewarm,1
392,house,1
393,search,1
394,compensate,1
395,problems,1
396,fool,1
397,central,1
398,magic,1
399,macdonalds,1
400,upmarket,1
401,giggle,1
402,build,1
403,weremiserable,1
404,gnocchi,1
405,thus,1
406,produce,1
407,disdain,1
408,intend,1
409,xmas,1
410,dissapointed,1
411,joke,1
412,optional,1
413,torquay,1
414,remember,1
415,yiu,1
416,dont,1
417,favorite,1
418,slither,1
419,presence,1
420,window,1
421,dirt,1
422,fly,1
423,everywhere,1
424,fun,1
425,adult,1
426,limoncello,1
427,worry,1
428,amalfi,1
429,takeaway,1
430,gin,1
431,hat,1
432,surprisingly,1
433,neck,1
434,drop,1
435,dismissive,1
436,challenge,1
437,dubious,1
438,panel,1
439,filthy,1
440,hesitant,1
441,grubby,1
442,respect,1
443,query,1
444,relatively,1
445,fareham,1
446,delay,1
447,northampton,1
448,aim,1
449,grip,1
450,cater,1
451,grab,1
452,stretch,1
453,criticise,1
454,upminster,1
455,branchabsolutely,1
456,venues,1
457,dusgusting,1
458,chille,1
459,buyer,1
460,beware,1
461,update,1
