,Company Name,Title of Review,Review Description,Date of Review,No. of stars
0,Franco Manca,If FM had enough staff then…,"If Franco Manco had enough staff then we wouldn’t have had to wait 30 minutes to get into Franco Manca Covent Garden last night but one waiter per floor is ridiculous. Yes the were busy and we love FM but have never had to wait over 40 minutes for a pizza. Delicious as usual but more staff please. Kudos to the staff there who were working incredibly hard, courteous with a smile. The whole process 1 1/2hrs in the end!","Oct 27, 2023",Rated 1 out of 5 stars
1,Franco Manca,What has happened to Franco,"What has happened to Franco? Used to be a pleasure. Staff no longer interested in serving - hands in pockets. Ignoring customers having a chat. No urgency in serving, cooking or general pleasant service. Can’t comment on food quality - I gave up and left!!","Oct 24, 2023",Rated 1 out of 5 stars
2,Franco Manca,Delicious food,"Delicious food, amazing service, loved the vibe. Will defo be back again soon to catch up with my pals.",7 days ago,
3,Franco Manca,Like being in Napoli!,"It was like being in Napoli with the rudeness & arrogance of the staff at the Kilburn Franca Manca.  Started off with one of our party who was deaf and did not hear the waiter being castigated for not acknowledging the staff, poor man stated he never heard the waiter talking to him at all.Waiter then said he did not need to write down the order as he could remember and subsequently order came to table incorrectly. We tried to rectify but staff were busy elsewhere, (one on a smoke break)!Food was not great, soggy watery pizza, not great at all. We had also ordered one pizza for takeaway which was ordered at the beginning of the meal and to to our amazement when we got home we had an empty box instead of a pizza, I think there was a miscommunication and this was laughable! Awful service, awful pizza, awful experience.  Real sense of an unmotivated staff, ( and that is a kind way of putting it)! Avoid at all costs, they will never see a penny of mine again!","Oct 16, 2023",Rated 1 out of 5 stars
4,Franco Manca,"Trafford Centre, not good","Trafford Centre:Server didn’t fill me with confidence our order had been correctly taken despite us repeating it several times, almost couldn’t cope with the idea that our 9 year old might want a full size pizza. Sure enough her pizza never turned up, asked where it was and they were genuinely surprised that all 4 of us might be wanting to eat.Wife’s pizza was pretty tasteless, toppings on mine was cold to lukewarm. The kids pizzas were ok. Honestly would have had more culinary enjoyment from a store bought pizza, just extremely disappointing, won’t be returning","Sep 26, 2023",Rated 2 out of 5 stars
5,Franco Manca,No refunds nor apology when overcharged!,"No refunds given when overcharged and told to write to head office for it! Ordered 5 pizzas and 3 salads between 7 of us. Errors were made in delivering our pizzas to our table.After much conversation with the waitress that we really did not order the pizzas she trying to persuade us to accept, we were given the correct order.After a friend paid the bill, we realised that we were also charged for the incorrect pizzas and an 'optional!' service was added too.We spoke with the manageress asking for a refund of the pizzas we didn't order and didn't eat. She said, ""It's your mistake and you should have checked your bill before you paid!""After much insisting, she said that she couldn't refund any money and that we should write to head office. No apology was given. Sooooo disappointing. Terrible manner from their manager Rachele who said their mistake is our mistake.She eventually filled in a refund form and said she'd send it off.Reading reviews, it seems that others have also been told no refunds are given. We do not have any hope for receiving money 'taken' from us.I suggest that mangers are taught to apologise and try and be kind and helpful rather than switching the blame. Was also rather off-putting to have person making pizzas wearing trousers and underpants falling from bottom, exposed two inches of it! Nice food cannot make up for terrible service! Shall never recommend nor return.","Oct 15, 2023",
6,Franco Manca,Very sad to see another poor customer service experience. Why,"We discovered Franco Manca in august, Southampton branch. It was the only restaurant with a table in the area and it wasn’t too bad. We thought the sourdough pizza was a bit chewing good texture and red wine in a tumbler? The menu is only pizza and some odd topping choices but hey Ho we were hungry. So when we recently were in london, the Aldwych branch popped up as a pre theatre option and we figured okay let’s go! We booked a table for 5:30 and arrived bang on time. On arrival the guy who checked us in frankly couldn’t really be bothered. They were clearly busy, but there is no need to make your ‘guests’ feel like they don’t want you to be there. There was no table, He said can you sit over there at the bar. In any other restaurant I have ever been to this means we will hold you here until a table is free but no, the bar here is four seats next to each other to eat. Not an ideal family meal out. Families came in after us and we’re show to a table of four. So what is the point of booking a table? We were given no choice but we English don’t want to kick up a fuss and nor do I want to do so on a family night out with our young Son. The food was poor all the toppings were literally thrown into the middle of the pizza so most of the pizza is just dough and a bit of cheese at best. Wine in a tumbler. Rustic some might say. Okay but just no better than a cheap takeaway in the street. When we came to pay they had added a service charge said optional and make no mistake I always reward good service but the guy who we met and who did most of the servicing was poor communication and just did not gel with his customers so I asked for the service charge to be removed. They then all went into a huddle and giving us the eye making us feel uncomfortable. He asked why and I told him why and he said we are having a very busy night. Sorry but that’s no excuse for not caring and making customers feel like they have had a service. If your not in a rush and just want a cafe pizza indoors but no engagement from the staff and happy without a restaurant experience but pay restaurant prices then okay but we won’t be going again. Looking at overall reviews another soon to be victim of nice try but failed. You’d think a company of this size would listen to its customers and get the staff and n basic customer service courses. With a 2.7 rating something can be done about it as statistically over time this has slowly been dropping.","Updated Oct 24, 2023",Rated 1 out of 5 stars
7,Franco Manca,Top notch,Top notch - rather spiffing nosh,4 days ago,Rated 5 out of 5 stars
8,Franco Manca,Very disappointing,Very disappointing.  The salad was 90% lettuce. The pizza managed to be heavily singed and very soggy. Staff unsurprisingly didn't ask if we enjoyed the food and seemed disinterested generally.,"Oct 1, 2023",Rated 2 out of 5 stars
9,Franco Manca,Most sweet Manager Imi and lovely staff,"Me and my sister came to Franco Manca Covent Garden , the service was fast and we loved the vibe of the staff ! I have nuts allergy and during the order even the Manager arrived to our table with an allergy list to reinsurance my safety! Absolutely professional, fantastic energie guy, his name is Imi .We loved him and the tasty pizza  No2 with buffalo and the tuna salad. Going back defenetly!","Apr 13, 2023",Rated 5 out of 5 stars
