,Word,Frequency
0,fabulous,6
1,banstead,5
2,brilliant,5
3,din,5
4,outstanding,4
5,female,4
6,waiters,4
7,jack,4
8,cheam,4
9,pip,4
10,ensure,4
11,prezzos,3
12,x,3
13,connor,3
14,line,3
15,efficient,3
16,hinckley,3
17,perfect,2
18,cheerful,2
19,super,2
20,gem,2
21,impressive,2
22,leicester,2
23,thursday,2
24,activity,2
25,daughters,2
26,tunbridge,2
27,trowbridge,2
28,superstore,2
29,tuna,2
30,comment,2
31,recommendation,2
32,bolton,2
33,wonderful,2
34,asset,2
35,xx,2
36,enfield,2
37,crispy,2
38,goran,2
39,exmouth,2
40,job,2
41,grill,2
42,italy,2
43,mauro,2
44,fault,2
45,hempstead,2
46,praise,2
47,credit,2
48,lincoln,2
49,hemel,2
50,justine,2
51,kind,2
52,monday,2
53,male,2
54,stevenage,2
55,beautiful,2
56,comfortable,2
57,notch,2
58,elena,2
59,hill,2
60,grantham,2
61,sasha,2
62,trouble,2
63,charm,2
64,ventilate,1
65,decor,1
66,michael,1
67,meridian,1
68,fab,1
69,awesome,1
70,ladies,1
71,seabass,1
72,ventilation,1
73,skin,1
74,intolerances,1
75,nights,1
76,gorgeous,1
77,celebrations,1
78,friday,1
79,beccles,1
80,snd,1
81,contemporary,1
82,tuesday,1
83,girls,1
84,edge,1
85,kensington,1
86,surrey,1
87,considerate,1
88,valid,1
89,braintree,1
90,colchester,1
91,hell,1
92,impeccable,1
93,bomb,1
94,bangin,1
95,amy,1
96,allthe,1
97,airy,1
98,general,1
99,october,1
100,enthusiastic,1
101,shrubs,1
102,shannon,1
103,keith,1
104,sarah,1
105,charlie,1
106,flower,1
107,hornchurch,1
108,mask,1
109,redhill,1
110,georgina,1
111,ambiance,1
112,cozy,1
113,stratford,1
114,mouthwatering,1
115,jermaine,1
116,lynn,1
117,soon,1
118,proud,1
119,freshly,1
120,bake,1
121,furnace,1
122,families,1
123,bournemouth,1
124,refresh,1
125,interior,1
126,pacific,1
127,relax,1
128,unforgettable,1
129,stowmarket,1
130,beyond,1
131,missus,1
132,spanish,1
133,gf,1
134,alot,1
135,fav,1
136,june,1
137,birmingham,1
138,shirley,1
139,quiet,1
140,whitely,1
141,ten,1
142,situations,1
143,certain,1
144,drawback,1
145,seek,1
146,brilliantly,1
147,freindly,1
148,helpfull,1
149,friendliest,1
150,importance,1
151,smart,1
152,emmiediatly,1
153,prosseco,1
154,champagne,1
155,stain,1
156,utmost,1
157,roll,1
158,eye,1
159,mood,1
160,girlfriend,1
161,busyness,1
162,woodbridge,1
163,alittle,1
164,sometimes,1
165,bargain,1
166,thoughtful,1
167,delightful,1
168,fizz,1
169,kindly,1
170,expire,1
171,buckingham,1
172,jam,1
173,fortunate,1
174,doorstep,1
175,tereza,1
176,warmly,1
177,lead,1
178,autumn,1
179,truffled,1
180,macaroni,1
181,smilingdiana,1
182,satisfy,1
183,reasonably,1
184,specially,1
185,diana,1
186,wellsfor,1
187,strongly,1
188,expert,1
189,parmigiana,1
190,chianiti,1
191,thoroughly,1
192,defiantly,1
193,thumb,1
194,buckhurst,1
195,phenomenal,1
196,angelina,1
197,distance,1
198,natural,1
199,patronise,1
200,sir,1
201,profiteer,1
202,throughout,1
203,nearby,1
204,personable,1
205,restaraunt,1
206,peters,1
207,mid,1
208,pleasure,1
209,areas,1
210,obilging,1
211,klaudia,1
212,expectations,1
213,gross,1
214,out,1
215,dear,1
216,standards,1
217,holiday,1
218,slight,1
219,uxbridge,1
220,exception,1
221,shift,1
222,volume,1
223,anyway,1
224,shepperton,1
225,swift,1
226,habit,1
227,refer,1
228,monika,1
229,joy,1
230,crescent,1
231,loveliest,1
232,celebrate,1
233,noisy,1
234,furniture,1
235,utensils,1
236,opt,1
237,lewis,1
238,louis,1
239,coleborn,1
240,space,1
241,promotion,1
242,zach,1
243,hello,1
244,behalf,1
245,portugal,1
246,happily,1
247,lea,1
248,practice,1
249,brighton,1
250,wirral,1
251,mother,1
252,law,1
253,chemo,1
254,neglect,1
255,carmela,1
256,lucky,1
257,conjunction,1
258,oblige,1
259,quays,1
260,banter,1
261,polish,1
262,barman,1
263,uk,1
264,store,1
265,martins,1
266,lane,1
267,september,1
268,l,1
269,assett,1
270,encourage,1
271,tree,1
272,equally,1
273,chianti,1
274,double,1
275,salford,1
276,winner,1
277,equivalent,1
278,oak,1
279,smoke,1
280,penne,1
281,tempt,1
282,entry,1
283,exit,1
284,courtesy,1
285,worthy,1
286,hubby,1
287,occasionally,1
288,swag,1
