,Word,Frequency
0,six,1
1,pre,1
2,selection,1
3,selections,1
4,note,1
5,minus,1
6,errors,1
7,peterborough,1
8,vua,1
9,chunk,1
10,whuch,1
11,site,1
12,nightmare,1
13,decades,1
14,seriously,1
15,must,1
16,imagination,1
17,malvern,1
18,marsal,1
19,rocket,1
20,toilets,1
21,paper,1
22,visitors,1
23,ragu,1
24,merit,1
25,sea,1
26,trace,1
27,substitute,1
28,diner,1
29,thinner,1
30,vegetarians,1
31,fake,1
32,replacements,1
33,important,1
34,cashless,1
