,Word,Frequency
0,fabulous,6
1,banstead,5
2,brilliant,5
3,din,5
4,outstanding,4
5,female,4
6,waiters,4
7,jack,4
8,cheam,4
9,pip,4
10,ensure,4
11,prezzos,3
12,x,3
13,connor,3
14,line,3
15,efficient,3
16,hinckley,3
17,perfect,2
18,cheerful,2
19,super,2
20,fault,2
21,impressive,2
22,leicester,2
23,thursday,2
24,activity,2
25,daughters,2
26,tunbridge,2
27,trowbridge,2
28,superstore,2
29,tuna,2
30,comment,2
31,recommendation,2
32,bolton,2
33,wonderful,2
34,justine,2
35,xx,2
36,enfield,2
37,crispy,2
38,goran,2
39,grill,2
40,exmouth,2
41,job,2
42,italy,2
43,mauro,2
44,gem,2
45,hempstead,2
46,praise,2
47,credit,2
48,lincoln,2
49,hemel,2
50,asset,2
51,kind,2
52,monday,2
53,male,2
54,elena,2
55,comfortable,2
56,stevenage,2
57,notch,2
58,beautiful,2
59,hill,2
60,grantham,2
61,sasha,2
62,trouble,2
63,charm,2
64,meridian,1
65,intolerances,1
66,awesome,1
67,seek,1
68,unforgettable,1
69,seabass,1
70,mouthwatering,1
71,skin,1
72,ladies,1
73,nights,1
74,celebrations,1
75,tuesday,1
76,friday,1
77,beccles,1
78,girls,1
79,surrey,1
80,decor,1
81,ambiance,1
82,contemporary,1
83,cozy,1
84,michael,1
85,kensington,1
86,edge,1
87,october,1
88,braintree,1
89,colchester,1
90,impeccable,1
91,swag,1
92,hell,1
93,bomb,1
94,allthe,1
95,bangin,1
96,general,1
97,amy,1
98,considerate,1
99,shannon,1
100,enthusiastic,1
101,airy,1
102,keith,1
103,sarah,1
104,charlie,1
105,hornchurch,1
106,redhill,1
107,shrubs,1
108,flower,1
109,georgina,1
110,gorgeous,1
111,mask,1
112,delightful,1
113,shirley,1
114,snd,1
115,pacific,1
116,lynn,1
117,soon,1
118,proud,1
119,freshly,1
120,bake,1
121,furnace,1
122,families,1
123,bournemouth,1
124,refresh,1
125,interior,1
126,relax,1
127,stowmarket,1
128,ventilate,1
129,beyond,1
130,missus,1
131,spanish,1
132,gf,1
133,alot,1
134,fav,1
135,june,1
136,jermaine,1
137,birmingham,1
138,quiet,1
139,brilliantly,1
140,whitely,1
141,ten,1
142,situations,1
143,valid,1
144,ventilation,1
145,fab,1
146,stratford,1
147,helpfull,1
148,friendliest,1
149,smart,1
150,drawback,1
151,emmiediatly,1
152,prosseco,1
153,champagne,1
154,stain,1
155,roll,1
156,importance,1
157,utmost,1
158,eye,1
159,mood,1
160,girlfriend,1
161,alittle,1
162,busyness,1
163,sometimes,1
164,bargain,1
165,certain,1
166,woodbridge,1
167,freindly,1
168,fizz,1
169,thoughtful,1
170,joy,1
171,buckingham,1
172,jam,1
173,fortunate,1
174,doorstep,1
175,tereza,1
176,warmly,1
177,lead,1
178,autumn,1
179,truffled,1
180,macaroni,1
181,smilingdiana,1
182,satisfy,1
183,reasonably,1
184,specially,1
185,diana,1
186,wellsfor,1
187,strongly,1
188,expert,1
189,parmigiana,1
190,chianiti,1
191,thoroughly,1
192,defiantly,1
193,thumb,1
194,buckhurst,1
195,phenomenal,1
196,angelina,1
197,distance,1
198,natural,1
199,patronise,1
200,sir,1
201,profiteer,1
202,throughout,1
203,nearby,1
204,personable,1
205,restaraunt,1
206,peters,1
207,mid,1
208,pleasure,1
209,areas,1
210,obilging,1
211,klaudia,1
212,expectations,1
213,gross,1
214,out,1
215,dear,1
216,standards,1
217,holiday,1
218,slight,1
219,uxbridge,1
220,exception,1
221,shift,1
222,volume,1
223,anyway,1
224,shepperton,1
225,swift,1
226,habit,1
227,refer,1
228,monika,1
229,crescent,1
230,kindly,1
231,banter,1
232,celebrate,1
233,noisy,1
234,furniture,1
235,utensils,1
236,opt,1
237,lewis,1
238,louis,1
239,coleborn,1
240,zach,1
241,space,1
242,promotion,1
243,hello,1
244,loveliest,1
245,behalf,1
246,happily,1
247,lea,1
248,practice,1
249,brighton,1
250,wirral,1
251,mother,1
252,law,1
253,chemo,1
254,neglect,1
255,carmela,1
256,lucky,1
257,conjunction,1
258,expire,1
259,oblige,1
260,portugal,1
261,quays,1
262,polish,1
263,barman,1
264,uk,1
265,store,1
266,martins,1
267,lane,1
268,september,1
269,l,1
270,assett,1
271,encourage,1
272,tree,1
273,equally,1
274,chianti,1
275,double,1
276,salford,1
277,winner,1
278,equivalent,1
279,oak,1
280,smoke,1
281,penne,1
282,tempt,1
283,entry,1
284,exit,1
285,courtesy,1
286,worthy,1
287,hubby,1
288,occasionally,1
289,bathrooms,1
