,Title of Review,Review Description,Date of Review,No. of stars
0,Zizzi have obviously taken the decision…,"Zizzi have obviously taken the decision to increase their prices and reduce their quality in return. Tonight we had Chicken milanaese which has changed to cheaper processed chicken, smaller cheaper fried potatoes and they have decided to take all sauce away so very dry. The Salmon risotto was an extremely small portion that should not be allowed to be called Salmon. If the was 0.1% Salmon in this under cooked, pre packaged dish I would be very surprised. The vegetable lasagne was the worst of them all. Once again very small portions that is they are selling as 6 layer vegetable lasagne with a list of delicious vegetables. In reality there are 6 layers of pasta with a tomato sauce with potentially some vegetable mixed in with blender. A 1 course meal with a tip for 4 of us with water was £80 for absolute trash processed, pre bagged food. First thing we did when we got home was to make some more food as still hungry, and we are not big eaters Would have been much nicer and much much cheaper and fulfilling to pop into supermarket and get some ready made meals. Did visit about once per month but will not be visiting again.",7 days ago,Rated 1 out of 5 stars
1,Dont use the app and you cant use the toilets!!,"visited Zizi Guilford as a pre-booked party of 12. we allowed 90mins to have our meal before going to a live show at the theatre opposite.the restaurant was not busy when we arrived with only 1 other table occupied.We were asked to use the app to place our orders and that's what caused the problem and spoilt our experience.the qr codes on the table were scanning as invalid so we were given 1 to use for the whole group.12 people trying to order made the app crash.we asked repeatedly if we could place our order with a waiter.no!we then tried with less people ordering but then orders that weren't received originally suddenly pinged through meaning we had multiples.eg: 1 cocktail ordered but 4 arrived, main dishes not arriving  arriving etc.it was a shambles.the waiter did his best to sort things out but we were made to feel it was our fault. we had planned to have a 3course meal but instead had to opt to just have mains as we were on a time limit.when it came to the bill we had to persuade them what we had ordered and rather than apologise again we were made to feel we were purposely trying to get out of paying for food we hadnt had. they tried to say we were under paying when in fact we had made a decision that we were not going to pay the service charge automatically added on per person nor were we going to pay the additional charge for using the app.they weren't happy with this at all and still made no apology for keeping us waiting for our food because of the order mess up.what food we did have we had to rush to eat but was nice and hot. to top of the evening the toilets had NO WATER - a major H&S issue for which they could be closed down.when this was reported again no apology it was brushed off as 'not a problem, we know'.as i said to the staff it is a problem if i cant wash my hands are your staff washing their hands? i will be contacting Zizi customer services and wont be returning.",3 days ago,Rated 2 out of 5 stars
2,BEEN MEANING TO REVIEW THIS FOR AWHILE,"BEEN MEANING TO REVIEW THIS FOR AWHILE. our experience of zIZZI , NOT A GOOD ONE , WE ATE IN THE BOURNEMOUTH BRANCH , THE STAFF SEEMED TO THINK WE WERE SERVING THEM , NOT THE OTHER WAY ROUND , THE FOOD CAN BE COMPARED TO A MICROWAVE MEAL FROM TESCO , NEVER AGAIN","Oct 19, 2023",Rated 1 out of 5 stars
3,Rude staff member,"Me and my elder parents came into Zizi we waited politely too be seated and we questioned when she would get us seated as we waited for at least 5 minutes with no Queue when she was cleaning table after table. She then shouted at us “wait now you’ve only waited 5minutes, I’ll come over in a second” I was incredibly shocked at her tone and the fact she had cleaned at least 5 tables whilst we were waiting, she then continued too clean another table after saying that she would come over, then told me there wasn't at-least 15 items as the fryer was off, we were then waiting too decide if we wanted too say and she snapped “are you coming or going” then sighed and dumped us at a random seat that was seated for 2 (but there was 3 of us), the food was cold and expensive with a long wait time. Honestly I was in shock I have anxiety and this heightened it massively then I was very anxious the whole day the reason I don’t leave the house is because of people like this.",3 days ago,
4,Terrible experience with( Eric) the manager,"ɪ ʜᴀᴠᴇ ᴀ ʙᴀᴅ ᴇxᴘᴇʀɪᴇɴᴄᴇ, ᴛʜᴇ ᴍᴀɴᴀɢᴇʀ ᴡʜᴏ ɢᴏᴇs ʙʏ ᴛʜᴇ ɴᴀᴍᴇ ᴇʀɪᴄ, ᴡᴀs ᴇxᴛʀᴇᴍᴇʟʏ ʀᴜᴅᴇ ᴀɴᴅ ᴀʀʀᴏɢᴀɴᴛ. ɪ ᴛᴏʟᴅ ʜɪᴍ ᴛʜᴀᴛ ᴛʜᴇ ᴡᴀɪᴛʀᴇss ᴛᴏᴏᴋ ᴍʏ ғᴏᴏᴅ ʙᴇғᴏʀᴇ ɪ ғɪɴɪsʜᴇᴅ ɪᴛ. ʜᴇ ʀᴇᴀᴄᴛᴇᴅ ᴠᴇʀʏ ʙᴀᴅʟʏ ᴀɴᴅ sᴀɪᴅ ʜᴇ ᴡᴏᴜʟᴅ ᴘʀᴏᴛᴇᴄᴛ ʜɪs ᴄᴏʟʟᴇᴀɢᴜᴇ, ʜᴇ ᴏɴʟʏ ᴄᴀʟᴍᴇᴅ ᴅᴏᴡɴ ᴀ ʟɪᴛᴛʟᴇ ᴡʜᴇɴ ᴍʏ ᴘᴀʀᴛɴᴇʀ ᴊᴏɪɴᴇᴅ ᴛʜᴇ ᴄᴏɴᴠᴇʀsᴀᴛɪᴏɴ. ɪᴛ's ᴀ sʜᴀᴍᴇ ʙᴇᴄᴀᴜsᴇ ɪ ʜᴀᴅ ᴊᴜsᴛ ᴘʀᴀɪsᴇᴅ ᴛʜᴇ ᴍᴀɴᴀɢᴇʀ ʙᴇғᴏʀᴇ ʜɪᴍ, ɪ ᴀʟsᴏ ᴘʀᴀɪsᴇᴅ ᴛʜᴇ sᴇᴀsᴏɴɪɴɢ ᴀɴᴅ ᴀᴛᴍᴏsᴘʜᴇʀᴇ. ʙᴜᴛ ᴀs sᴏᴏɴ ᴀs ʜᴇ ᴄʜᴀɴɢᴇᴅ sʜɪғᴛs ᴀɴᴅ ᴛʜᴇ ᴏᴛʜᴇʀ ᴍᴀɴᴀɢᴇʀ ᴄᴀᴍᴇ ɪɴ (ᴇʀɪᴄ) ᴛʜᴇ ɴɪɢʜᴛ ᴡᴀs ᴏᴠᴇʀ. ɪᴛ's sᴀᴅ ᴛᴏ ᴇɴᴛᴇʀ ᴀ ᴘʟᴀᴄᴇ ᴡʜᴇʀᴇ ᴡᴇ ɢᴏ ᴛᴏ ʀᴇʟᴀx ᴀ ʟɪᴛᴛʟᴇ ᴀɴᴅ ᴇɴᴅ ᴜᴘ ʜᴀᴠɪɴɢ sᴜᴄʜ ᴀɴ ᴇxᴘᴇʀɪᴇɴᴄᴇ. ʙᴜᴛ sᴛɪʟʟ, ᴛʜᴀɴᴋ ʏᴏᴜ ᴛᴏ ᴛʜᴇ ғɪʀsᴛ ᴍᴀɴᴀɢᴇʀ ᴡʜᴏ ʜᴇʟᴘᴇᴅ ᴜs ᴇᴀʀʟɪᴇʀ.",7 days ago,Rated 1 out of 5 stars
5,Average at best,Two words great describe this place distinctly average. The meals were luke warm. Overpriced and it took 5 mins sis at the entrance until someone noticed we were there. This was my daughter's choice for her birthday but I will not be going again.,"Oct 16, 2023",
6,Quicker to order through Uber eats!!!,"If felt that Zizzi would rather look after their Uber Eats, Just Eat customer rather the ones who made the effort to go the restaurant!! 40 mins to wait for the starters & the kitchen dealing with the take away orders rather the customers in the restaurant. I could of ordered through my app & got it quicker than in the restaurant....Rude delivery drivers queuing in the restaurant, I felt we were in MacDonalds with everyone hanging around waiting for their order numbers. Wasn't relaxing with guys in helmets hanging around you & barging passed your table. The food when we did get it was substandard & not that nice. Really expensive for what you get & the staff were busy making delivery boxes than looking after the customers in the restaurant. Didnt get asked if everything was okay, just left & we had to call over the staff to order. Wont be going to Zizzi's Hampton Court again I'm afraid","Oct 10, 2023",Rated 1 out of 5 stars
7,25% off food bill was reflected in food size/taste!,"On receiving a 25% offer off food we had to show this offer before ordering. My husband ordered the 6 layer lasagne and was given a small portion, my order for the rolled belly pork had fries when it should have been potatoes, on checking I was told it was now always with fries so I suggested they should change their menu! The rainbow carrots served with it was beyond description and not very nice at all. Won’t be back there in a hurry!","Sep 27, 2023",Rated 3 out of 5 stars
8,Don’t go to Zizzi,"Terrible food, small pizzas, hardly any cheese, ham, or any other toppings. All overpriced and undersized. Never again!","Oct 17, 2023",Rated 1 out of 5 stars
9,Gluten free,"This is the 2nd time I've ordered delivery via Uber eats. I can't have gluten and first order was a gluten free pizza wasn't great but decided to give them the benefit of the doubt and Tonight ordered plain margherita and a new beef ragu pasta dish which I shared with a friend.I know gluten free pasta and pizza isn't great but for £29 I would have thought in this day and age pizza base would be a bit better. Pizza resembled a pretty soggy cheese on very thin toast and the pasta, it's wasn't great. Pre my gluten free days I remember getting beef ragu from Tesco and it tasted better than this. Gluten free or not gluten free for the price it should taste a lot better.","Sep 28, 2023",Rated 2 out of 5 stars
